id,method,valid,title,description
1,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/tags - Retrieve account tags,"This API retrieves tags for a specific account.

As a user of KillBill API, I should be able to retrieve tags for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/tags

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `includedDeleted` (`boolean`, default: `false`): If true, includes deleted tags. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Tag` objects (as defined in #/definitions/Tag).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
2,POST,True,Implement/Test API: POST /1.0/kb/accounts/{accountId}/tags - Add tags to account,"This API adds tags to a specific account.

As a user of KillBill API, I should be able to add tags to an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts/{accountId}/tags

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user creating the tags. Required: true.
- `X-Killbill-Reason` (`string`): The reason for creating the tags. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of strings, where each string is a UUID representing a tag definition ID.
  Example:
  ```json
  [
    ""tag-definition-uuid-1"",
    ""tag-definition-uuid-2""
  ]
  ```

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Tag created successfully).
- The response body will be a JSON array of `Tag` objects (as defined in #/definitions/Tag) representing the created tags.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or the request body is malformed."
3,DELETE,True,Implement/Test API: DELETE /1.0/kb/accounts/{accountId}/tags - Remove tags from account,"This API removes tags from a specific account.

As a user of KillBill API, I should be able to remove tags from an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/accounts/{accountId}/tags

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `tagDef` (`array` of `string` with format `uuid`, collectionFormat: `multi`): List of tag definition IDs to remove. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user deleting the tags. Required: true.
- `X-Killbill-Reason` (`string`): The reason for deleting the tags. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or account does not have a default payment method (AUTO_PAY_OFF tag only)."
4,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/customFields - Retrieve account custom fields,"This API retrieves custom fields for a specific account.

As a user of KillBill API, I should be able to retrieve custom fields for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/customFields

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `CustomField` objects (as defined in #/definitions/CustomField).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
5,POST,True,Implement/Test API: POST /1.0/kb/accounts/{accountId}/customFields - Add custom fields to account,"This API adds custom fields to a specific account.

As a user of KillBill API, I should be able to add custom fields to an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts/{accountId}/customFields

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user creating the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for creating the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of `CustomField` objects (as defined in #/definitions/CustomField).

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Custom field created successfully).
- The response body will be a JSON array of `CustomField` objects (as defined in #/definitions/CustomField) representing the created custom fields.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or the request body is malformed."
6,PUT,True,Implement/Test API: PUT /1.0/kb/accounts/{accountId}/customFields - Modify custom fields to account,"This API modifies custom fields for a specific account.

As a user of KillBill API, I should be able to modify custom fields for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/accounts/{accountId}/customFields

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user modifying the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for modifying the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A JSON array of `CustomField` objects (as defined in #/definitions/CustomField) to be modified.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or the request body is malformed."
7,DELETE,True,Implement/Test API: DELETE /1.0/kb/accounts/{accountId}/customFields - Remove custom fields from account,"This API removes custom fields from a specific account.

As a user of KillBill API, I should be able to remove custom fields from an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/accounts/{accountId}/customFields

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `customField` (`array` of `string` with format `uuid`, collectionFormat: `multi`): List of custom field IDs to remove. Required: false. If not specified, all custom fields for the account will be removed.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user deleting the custom fields. Required: true.
- `X-Killbill-Reason` (`string`): The reason for deleting the custom fields. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
8,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/block - Retrieve blocking states for account,"This API retrieves blocking states for a specific account.

As a user of KillBill API, I should be able to retrieve blocking states for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/block

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `blockingStateTypes` (`array` of `string`, enum: `[SUBSCRIPTION, SUBSCRIPTION_BUNDLE, ACCOUNT]`, collectionFormat: `multi`): Filter by blocking state types. Required: false.
- `blockingStateSvcs` (`array` of `string`, collectionFormat: `multi`): Filter by blocking state services. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `BlockingState` objects (as defined in #/definitions/BlockingState).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
9,POST,True,Implement/Test API: POST /1.0/kb/accounts/{accountId}/block - Block an account,"This API blocks an account or parts of it (e.g., subscriptions, bundles).

As a user of KillBill API, I should be able to add a blocking state to an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts/{accountId}/block

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `requestedDate` (`string`, format: `date`): The date on which the blocking state should become effective. Required: false.
- `pluginProperty` (`array` of `string`, collectionFormat: `multi`): Additional plugin properties. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user applying the blocking state. Required: true.
- `X-Killbill-Reason` (`string`): The reason for applying the blocking state. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: A `BlockingState` object (as defined in #/definitions/BlockingState) specifying the details of the block.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Blocking state created successfully).
- The response body will be a JSON array of `BlockingState` objects (as defined in #/definitions/BlockingState) representing the created blocking state(s).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or the request body is malformed.
- Respond with HTTP status code 404 if the account is not found."
10,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/auditLogs - Retrieve audit logs by account id,"This API retrieves audit logs for a specific account.

As a user of KillBill API, I should be able to retrieve audit logs for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/auditLogs

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `AuditLog` objects (as defined in #/definitions/AuditLog).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the account is not found."
