jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,85,completed,4.674752,5261,187,1
2,95,completed,4.002079,6411,186,1
3,90,completed,4.007525,5685,209,1
4,85,completed,3.560627,4402,200,1
5,90,completed,4.177302,6651,220,1
6,95,completed,4.078953,6920,210,1
7,90,completed,6.834953,5441,184,2
8,90,completed,3.6097,6189,199,1
9,90,completed,5.00741,7116,236,1
10,86,completed,4.556167,4167,202,1
11,90,completed,4.345958,6178,195,1
12,95,completed,4.222528,5452,218,1
13,90,completed,4.210396,6317,202,1
14,90,completed,5.640121,5128,208,1
15,90,completed,6.218288,4822,235,1
16,85,completed,4.982023,3746,197,1
17,90,completed,6.448947,6488,195,1
18,95,completed,4.34271,7355,186,1
19,90,completed,6.360139,6049,236,2
20,90,completed,5.173774,5341,200,1
21,90,completed,4.85711,5684,196,1
22,90,completed,3.79292,5516,208,1
23,90,completed,4.673607,6429,207,1
24,90,completed,4.257359,6243,210,1
25,90,completed,4.592691,7049,214,1
26,90,completed,5.005339,5622,211,1
27,90,completed,5.462958,7439,212,1
28,90,completed,5.261296,6118,221,1
29,90,completed,4.246167,6899,188,1
30,90,completed,4.064323,5511,204,1
31,90,completed,5.55125,8984,214,1
32,95,completed,4.79163,9852,233,1
33,90,completed,4.5494,4688,188,1
34,85,completed,4.392904,4498,187,1
35,90,completed,4.445576,6836,188,1
36,85,completed,3.911698,6026,187,1
37,90,completed,4.109526,5676,223,1
38,85,completed,4.074409,5015,203,1
39,90,completed,4.096428,5618,211,1
40,90,completed,4.250995,4954,189,1
41,85,completed,3.744305,4398,197,1
42,90,completed,4.223105,6031,214,1
43,90,completed,4.848799,6338,220,1
44,90,completed,4.003903,5208,211,1
45,90,completed,3.278917,3740,162,1
46,90,completed,3.762748,4641,183,1
47,90,completed,4.221367,3390,235,1
48,85,completed,4.253958,3275,188,1
49,85,completed,4.884747,3434,240,1
50,90,completed,4.624476,5250,199,1
51,90,completed,4.843522,7735,222,1
52,85,completed,5.141625,4670,206,1
53,95,completed,4.997402,6809,244,1
54,90,completed,3.43803,4977,161,1
55,90,completed,3.919005,4636,199,1
56,90,completed,4.564078,6303,234,1
57,90,completed,4.157639,6140,183,1
58,95,completed,6.339053,6310,232,2
59,90,completed,4.108167,5486,193,1
60,90,completed,5.657691,5165,204,1
61,90,completed,4.652127,4637,217,1
62,90,completed,5.773648,5051,261,1
63,95,completed,5.579714,6255,204,2
64,95,completed,5.081469,6266,211,1
65,90,completed,5.726285,7894,225,1
66,90,completed,4.553627,6052,212,1
67,85,completed,4.357683,4725,198,1
68,90,completed,5.628756,6352,205,1
69,85,completed,4.325187,4917,207,1
70,90,completed,4.044395,4160,222,1
71,90,completed,4.962845,4526,242,1
72,90,completed,3.962278,5215,181,1
73,85,completed,4.05365,4139,200,1
74,90,completed,4.748487,4830,172,1
75,90,completed,3.795547,4466,191,1
76,85,completed,4.330756,5045,191,1
77,85,completed,3.808424,4978,186,1
78,90,completed,4.064389,5855,203,1
79,85,completed,5.042384,4627,215,1
80,95,completed,4.720663,8288,212,1
81,90,completed,3.687052,4980,176,1
82,90,completed,3.694246,4431,207,1
83,90,completed,5.077871,6533,222,1
84,90,completed,8.608838,5879,183,1
85,90,completed,4.804678,5511,202,1
86,85,completed,5.615913,6115,204,1
87,90,completed,4.607359,6739,221,1
88,90,completed,3.975709,5395,175,1
89,90,completed,3.294548,4913,184,1
90,90,completed,5.085491,6337,217,1
91,95,completed,4.275509,6451,185,1
92,90,completed,5.095684,5524,183,1
93,90,completed,4.134808,4404,191,1
94,85,completed,5.618171,5674,221,1
95,90,completed,4.368726,6215,198,1
96,95,completed,5.898576,5561,234,2
97,90,completed,4.328965,5217,199,1
98,90,completed,5.06491,6846,220,1
99,90,completed,4.792416,5797,211,1
100,90,completed,3.778737,6121,183,1
