jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,80,completed,27.90873,5260,2018,1
2,85,completed,31.485618,6410,2282,1
3,85,completed,27.765806,5684,1890,1
4,64,completed,30.567934,4401,1950,1
5,85,completed,28.785705,6650,2273,1
6,88,completed,28.876843,6919,2126,1
7,85,completed,22.479118,5440,2380,1
8,80,completed,34.275273,6188,2036,1
9,85,completed,44.196855,7115,2541,1
10,75,completed,31.256515,4166,2047,1
11,80,completed,36.179603,6177,2176,1
12,88,completed,27.504388,5451,2109,1
13,85,completed,37.530891,6316,2763,1
14,82,completed,43.609722,5127,2232,1
15,82,completed,30.238199,4821,2188,1
16,57,completed,27.561094,3745,1926,1
17,88,completed,35.576694,6487,2329,1
18,90,completed,27.960626,7354,1981,1
19,82,completed,26.283428,6048,2079,1
20,78,completed,24.824962,5340,1913,1
21,80,completed,24.03698,5683,1756,1
22,82,completed,34.142103,5515,1839,1
23,80,completed,29.035912,6428,1801,1
24,82,completed,36.2942,6242,2339,1
25,90,completed,32.963593,7048,2438,1
26,78,completed,24.675786,5621,1707,1
27,82,completed,29.981082,7438,2182,1
28,88,completed,30.1605,6117,1999,1
29,90,completed,32.347852,6898,2008,1
30,80,completed,32.69817,5510,2010,1
31,88,completed,37.275052,8983,2550,1
32,85,completed,38.707928,9851,1942,1
33,82,completed,33.638451,4687,2157,1
34,70,completed,24.891037,4497,1863,1
35,65,completed,54.412859,6835,2991,1
36,82,completed,30.796975,6025,1870,1
37,88,completed,34.712978,5675,2138,1
38,65,completed,33.450181,5014,2140,1
39,80,completed,16.468108,5617,1739,1
40,85,completed,25.948206,4953,1830,1
41,80,completed,35.801772,4397,2204,1
42,57,completed,39.744067,6030,2509,1
43,88,completed,35.097033,6337,1990,1
44,85,completed,35.3054,5207,2122,1
45,85,completed,32.168217,3739,2207,1
46,82,completed,26.451254,4640,2085,1
47,85,completed,32.149129,3389,2163,1
48,85,completed,28.21622,3274,2009,1
49,80,completed,30.243965,3433,1972,2
50,82,completed,29.24814,5249,1563,1
51,85,completed,27.71332,7734,2050,1
52,85,completed,19.879208,4669,1703,1
53,87,completed,26.29191,6808,2415,1
54,85,completed,29.125277,4976,1929,1
55,75,completed,43.209446,4635,1621,1
56,85,completed,43.617565,6302,2444,1
57,86,completed,29.85927,6139,2325,1
58,92,completed,31.917345,6309,2389,1
59,82,completed,28.736306,5485,2340,1
60,80,completed,29.16839,5164,2101,1
61,86,completed,40.076814,4636,2303,1
62,85,completed,29.811625,5050,2061,1
63,90,completed,54.411306,6254,2502,1
64,90,completed,49.116867,6265,2792,1
65,88,completed,29.401238,7893,1904,1
66,85,completed,35.214503,6051,2239,1
67,57,completed,55.094843,4724,2003,1
68,85,completed,55.405743,6351,2026,1
69,71,completed,36.67745,4916,2029,1
70,88,completed,28.619891,4159,1902,1
71,85,completed,36.409242,4525,2320,1
72,57,completed,29.369223,5214,1791,1
73,78,completed,39.868471,4138,2105,1
74,78,completed,35.552243,4829,2386,1
75,75,completed,26.695111,4465,2049,1
76,80,completed,30.184873,5044,1838,1
77,75,completed,35.282263,4977,2370,1
78,85,completed,33.621712,5854,2178,1
79,85,completed,35.595223,4626,2124,1
80,85,completed,31.624581,8287,2389,1
81,71,completed,41.499162,4979,1696,1
82,67,completed,35.805481,4430,2024,1
83,91,completed,35.09931,6532,2009,1
84,88,completed,26.952809,5878,1700,1
85,80,completed,42.706195,5510,2601,1
86,65,completed,24.353103,6114,1946,1
87,82,completed,29.173849,6738,1874,1
88,85,completed,33.582564,5394,2346,1
89,86,completed,26.818361,4912,1862,1
90,88,completed,27.893285,6336,2095,1
91,82,completed,28.031481,6450,1998,1
92,85,completed,29.953801,5523,1977,1
93,60,completed,35.491362,4403,2002,1
94,78,completed,31.126794,5673,1807,2
95,85,completed,36.312486,6214,2568,1
96,85,completed,35.969746,5560,2202,1
97,80,completed,43.774527,5216,1906,1
98,85,completed,38.839165,6845,2376,1
99,86,completed,36.898295,5796,2396,1
100,80,completed,30.630159,6120,1990,1
