jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,57,completed,20.76787,5325,842,2
2,92,completed,6.903906,6473,1452,1
3,88,completed,12.283367,5747,1043,1
4,57,completed,14.058798,4466,979,1
5,85,completed,10.125005,6714,1533,1
6,92,completed,9.389604,6983,1081,1
7,80,completed,12.786362,5503,1134,1
8,57,completed,2.207785,6252,937,1
9,92,completed,10.082571,7179,1515,1
10,70,completed,9.724364,4229,1280,1
11,57,completed,12.705458,6242,898,1
12,92,completed,7.040908,5515,1237,1
13,70,completed,10.202327,6364,1181,1
14,57,completed,3.073784,5191,666,1
15,85,completed,3.84612,4869,874,1
16,70,completed,12.225689,3810,807,1
17,85,completed,4.64124,6550,1393,1
18,71,completed,4.125323,7418,1170,1
19,71,completed,2.421685,6117,494,1
20,71,completed,17.362925,5405,1090,1
21,57,completed,30.529598,5748,818,2
22,80,completed,7.587683,5579,1128,1
23,70,completed,6.467473,6492,880,1
24,75,completed,12.548269,6305,1134,1
25,86,completed,8.477981,7112,1195,1
26,57,completed,5.949191,5685,1000,1
27,83,completed,9.002356,7502,1134,1
28,92,completed,6.703384,6180,1267,1
29,88,completed,4.53925,6962,1249,1
30,57,completed,20.503713,5575,1134,1
31,83,completed,10.211846,9046,1071,1
32,93,completed,5.815963,9914,1045,1
33,57,completed,2.433231,4751,886,1
34,57,completed,9.376144,4562,893,1
35,57,completed,6.522489,6899,1098,1
36,80,completed,19.502066,6088,1805,1
37,85,completed,11.95024,5738,1133,1
38,57,completed,3.870297,5083,799,1
39,57,completed,6.142851,5681,1091,1
40,75,completed,4.380552,5001,978,1
41,60,completed,9.040965,4460,778,1
42,57,completed,4.845348,6094,703,1
43,80,completed,7.622553,6401,1157,1
44,65,completed,7.676236,5271,1141,1
45,80,completed,15.768336,3802,1238,1
46,92,completed,3.83474,4688,894,1
47,85,completed,4.792104,3458,1141,1
48,88,completed,15.280854,3337,1285,1
49,85,completed,9.954497,3498,1027,1
50,57,completed,6.639314,5313,870,1
51,85,completed,3.281321,7798,1022,1
52,70,completed,7.004109,4732,908,2
53,88,completed,12.633484,6871,1143,1
54,70,completed,4.925412,5040,975,1
55,57,completed,2.692258,4699,871,1
56,84,completed,6.446649,6366,1155,1
57,70,completed,25.405632,6204,1361,1
58,95,completed,14.49403,6372,1289,1
59,57,completed,35.131719,5550,935,2
60,57,completed,7.035843,5227,1171,1
61,71,completed,3.510049,4705,740,1
62,78,completed,4.598985,5119,1007,1
63,92,completed,10.131243,6318,1092,1
64,78,completed,5.483625,6329,971,2
65,85,completed,15.693947,7956,1249,2
66,85,completed,5.466571,6114,1000,1
67,57,completed,12.939369,4787,1122,1
68,85,completed,8.320509,6415,1345,1
69,57,completed,3.179375,4980,1063,1
70,75,completed,15.147986,4222,1273,1
71,57,completed,6.977766,4589,869,1
72,57,completed,14.11454,5279,913,1
73,57,completed,8.379642,4201,1072,1
74,57,completed,7.886324,4893,850,1
75,57,completed,9.565254,4530,905,1
76,60,completed,10.656937,5107,951,1
77,57,completed,7.243982,5041,1213,1
78,85,completed,3.265173,5918,1281,1
79,57,completed,10.889675,4689,979,1
80,78,completed,5.833035,8351,1208,1
81,71,completed,3.795816,5043,1166,1
82,50,completed,10.375861,4493,1010,1
83,93,completed,10.571837,6595,920,1
84,88,completed,21.1455,5943,916,2
85,57,completed,1.964098,5574,915,1
86,65,completed,3.839551,6183,731,2
87,90,completed,3.771142,6802,1078,1
88,88,completed,2.705819,5458,1003,1
89,57,completed,4.739204,4976,1005,1
90,88,completed,5.796311,6400,971,1
91,72,completed,5.833867,6514,1130,1
92,90,completed,6.187397,5587,1116,1
93,57,completed,8.524046,4466,857,1
94,70,completed,6.757993,5737,1134,1
95,88,completed,3.870334,6278,1351,1
96,92,completed,16.134962,5623,1223,1
97,57,completed,8.312949,5279,770,1
98,85,completed,8.309857,6909,1218,1
99,85,completed,13.042514,5859,1298,1
100,55,completed,5.642462,6189,1207,1
