jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,70,completed,2.868289,5261,374,1
2,85,completed,2.987324,6411,439,1
3,85,completed,2.422308,5685,329,1
4,70,completed,3.72876,4402,577,1
5,70,completed,3.255672,6651,489,1
6,85,completed,3.531962,6920,423,1
7,85,completed,3.499634,5441,476,1
8,70,completed,3.24526,6189,509,1
9,85,completed,3.576676,7116,551,1
10,70,completed,2.965275,4167,421,1
11,85,completed,3.837125,6178,615,1
12,85,completed,4.907876,5452,582,1
13,85,completed,2.98252,6317,453,1
14,70,completed,3.707604,5128,512,1
15,85,completed,3.329736,4822,408,1
16,85,completed,2.771819,3746,408,1
17,70,completed,3.655048,6488,502,1
18,85,completed,3.25249,7355,471,1
19,70,completed,2.187535,6049,264,1
20,85,completed,4.256469,5341,555,1
21,85,completed,4.634955,5684,569,1
22,85,completed,4.649448,5516,579,1
23,85,completed,3.597518,6429,519,1
24,85,completed,2.524114,6243,357,1
25,85,completed,4.188343,7049,544,1
26,85,completed,2.75305,5622,423,1
27,85,completed,3.775949,7439,513,1
28,85,completed,5.097862,6118,606,1
29,85,completed,3.491363,6899,590,1
30,70,completed,3.73593,5511,515,1
31,85,completed,4.211698,8984,588,1
32,85,completed,4.075893,9852,449,1
33,85,completed,2.899406,4688,441,1
34,70,completed,2.763751,4498,432,1
35,70,completed,4.603875,6836,659,1
36,85,completed,2.611487,6026,342,1
37,85,completed,3.302297,5676,438,1
38,85,completed,3.466853,5015,486,1
39,85,completed,2.797884,5618,408,1
40,85,completed,3.072774,4954,416,1
41,85,completed,3.955008,4398,425,1
42,70,completed,3.550655,6031,494,1
43,85,completed,4.816149,6338,691,1
44,85,completed,3.924321,5208,529,1
45,70,completed,3.391192,3740,511,1
46,85,completed,3.153643,4641,419,1
47,70,completed,4.07005,3390,479,1
48,85,completed,2.772641,3275,353,1
49,70,completed,2.337195,3434,319,1
50,85,completed,3.223626,5250,480,1
51,85,completed,4.904569,7735,751,1
52,70,completed,2.026532,4670,285,1
53,85,completed,4.803419,6809,645,1
54,70,completed,3.104672,4977,483,1
55,70,completed,3.206029,4636,478,1
56,85,completed,3.988766,6303,533,1
57,85,completed,5.352929,6140,631,1
58,85,completed,3.829177,6310,552,1
59,85,completed,2.97769,5486,487,1
60,85,completed,3.104313,5165,338,1
61,85,completed,2.464622,4637,341,1
62,85,completed,4.754148,5051,578,1
63,85,completed,3.398739,6255,557,1
64,85,completed,5.689077,6266,638,1
65,70,completed,4.296387,7894,559,1
66,85,completed,3.784209,6052,439,1
67,70,completed,4.195063,4725,560,1
68,85,completed,3.334762,6352,503,1
69,85,completed,3.880926,4917,513,1
70,85,completed,3.122645,4160,440,1
71,85,completed,3.548545,4526,458,1
72,70,completed,3.294444,5215,479,1
73,70,completed,3.119141,4139,489,1
74,70,completed,2.845522,4830,463,1
75,85,completed,2.949549,4466,413,1
76,85,completed,3.334707,5045,489,1
77,70,completed,3.165148,4978,400,1
78,85,completed,3.469224,5855,566,1
79,85,completed,3.863027,4627,516,1
80,85,completed,3.301051,8288,461,1
81,70,completed,3.215037,4980,453,1
82,70,completed,3.101875,4431,428,1
83,70,completed,4.339607,6533,572,1
84,70,completed,2.865206,5879,421,1
85,85,completed,3.351674,5511,496,1
86,85,completed,4.887826,6115,617,1
87,70,completed,3.869703,6739,544,1
88,85,completed,2.184949,5395,294,1
89,70,completed,3.404887,4913,485,1
90,85,completed,4.021845,6337,565,1
91,85,completed,4.798335,6451,619,1
92,85,completed,3.314435,5524,434,1
93,85,completed,3.153437,4404,466,1
94,85,completed,2.491327,5674,342,1
95,85,completed,3.262791,6215,442,1
96,85,completed,3.729884,5561,528,1
97,85,completed,3.612915,5217,549,1
98,85,completed,4.179375,6846,613,1
99,85,completed,2.930117,5797,450,1
100,85,completed,2.709512,6121,419,1
