jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,85,completed,3.625749,5261,223,1
2,95,completed,3.288983,6411,223,1
3,95,completed,3.774759,5685,236,1
4,85,completed,4.928857,4402,294,1
5,95,completed,5.134909,6651,323,1
6,95,completed,8.073925,6920,288,1
7,95,completed,2.920653,5441,203,1
8,85,completed,3.116514,6189,262,1
9,95,completed,5.016299,7116,323,1
10,85,completed,4.284553,4167,263,1
11,85,completed,3.781254,6178,255,1
12,95,completed,4.866289,5452,291,1
13,95,completed,5.76481,6317,225,1
14,85,completed,4.357325,5128,259,1
15,95,completed,5.203614,4822,230,1
16,85,completed,4.390002,3746,209,1
17,95,completed,5.037104,6488,318,1
18,95,completed,5.962377,7355,291,1
19,95,completed,4.412813,6049,284,1
20,85,completed,5.116715,5341,237,1
21,85,completed,4.360254,5684,269,1
22,95,completed,6.105505,5516,229,1
23,85,completed,3.910335,6429,303,1
24,90,completed,4.4501,6243,299,1
25,95,completed,4.823544,7049,246,1
26,85,completed,3.908106,5622,282,1
27,95,completed,3.946614,7439,278,1
28,95,completed,4.99362,6118,225,1
29,95,completed,4.324298,6899,229,1
30,85,completed,3.752943,5511,291,1
31,95,completed,5.612135,8984,217,1
32,95,completed,5.489572,9852,257,1
33,90,completed,5.472425,4688,289,1
34,90,completed,6.292359,4498,313,1
35,90,completed,4.442538,6836,283,1
36,85,completed,12.396362,6026,256,1
37,95,completed,4.754569,5676,280,1
38,85,completed,4.005872,5015,270,1
39,90,completed,3.432978,5618,256,1
40,95,completed,6.131776,4954,200,1
41,85,completed,3.682844,4398,301,1
42,85,completed,3.310726,6031,242,1
43,95,completed,3.309483,6338,326,1
44,95,completed,4.608506,5208,245,1
45,95,completed,4.931765,3740,217,1
46,95,completed,5.429915,4641,214,1
47,95,completed,3.704721,3390,213,1
48,85,completed,4.258141,3275,208,1
49,95,completed,4.743181,3434,253,1
50,85,completed,4.175669,5250,241,1
51,95,completed,4.084703,7735,227,1
52,85,completed,3.460914,4670,264,1
53,95,completed,3.749168,6809,231,1
54,90,completed,4.500274,4977,242,1
55,85,completed,3.846375,4636,236,1
56,95,completed,4.652471,6303,234,1
57,95,completed,6.194568,6140,264,1
58,95,completed,4.637519,6310,232,1
59,90,completed,4.718113,5486,251,1
60,85,completed,3.753007,5165,270,1
61,90,completed,4.584361,4637,244,1
62,95,completed,4.197795,5051,270,1
63,95,completed,5.084112,6255,236,1
64,95,completed,4.344053,6266,248,1
65,95,completed,5.730879,7894,250,1
66,95,completed,4.489283,6052,233,1
67,95,completed,7.817932,4725,333,1
68,95,completed,5.163588,6352,233,1
69,85,completed,5.483267,4917,243,1
70,95,completed,5.49914,4160,247,1
71,85,completed,3.494769,4526,259,1
72,85,completed,3.913604,5215,258,1
73,85,completed,3.624561,4139,282,1
74,85,completed,3.716038,4830,280,1
75,85,completed,4.414601,4466,249,1
76,85,completed,4.159598,5045,250,1
77,85,completed,3.673968,4978,282,1
78,95,completed,4.127145,5855,329,1
79,85,completed,4.058574,4627,306,1
80,95,completed,5.787095,8288,289,1
81,90,completed,5.795021,4980,241,1
82,85,completed,4.107393,4431,271,1
83,95,completed,4.944699,6533,282,1
84,90,completed,4.622333,5879,287,1
85,85,completed,3.391696,5511,248,1
86,85,completed,3.318864,6115,300,1
87,95,completed,4.196721,6739,238,1
88,95,completed,3.188409,5395,227,1
89,90,completed,4.378081,4913,228,1
90,95,completed,4.554733,6337,254,1
91,95,completed,5.564752,6451,211,1
92,95,completed,4.482555,5524,215,1
93,85,completed,5.100249,4404,276,1
94,85,completed,3.133262,5674,248,1
95,95,completed,4.214992,6215,235,1
96,95,completed,4.118853,5561,246,1
97,90,completed,4.586173,5217,299,1
98,95,completed,3.397967,6846,230,1
99,95,completed,5.813018,5797,223,1
100,95,completed,5.810354,6121,238,1
