jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,70,completed,7.612131,5260,834,1
2,85,completed,9.627873,6410,1129,1
3,85,completed,7.467814,5684,896,1
4,57,completed,9.839355,4401,1189,1
5,88,completed,8.356971,6650,1130,1
6,85,completed,9.076238,6919,1088,1
7,85,completed,7.643063,5440,1085,1
8,78,completed,8.459458,6188,1055,1
9,88,completed,9.308407,7115,1163,1
10,85,completed,7.671142,4166,777,1
11,85,completed,9.581381,6177,1073,1
12,88,completed,9.551556,5451,1369,1
13,85,completed,8.168129,6316,987,1
14,63,completed,7.85711,5127,1084,1
15,90,completed,7.303923,4821,926,1
16,71,completed,6.456885,3745,782,1
17,78,completed,11.694383,6487,1239,1
18,92,completed,5.459825,7354,640,1
19,85,completed,7.408567,6048,913,1
20,85,completed,9.640124,5340,1079,1
21,90,completed,9.693161,5683,1073,1
22,75,completed,10.209658,5515,1266,1
23,65,completed,11.759766,6428,1520,1
24,75,completed,9.358118,6242,1010,1
25,85,completed,6.90825,7048,1046,1
26,85,completed,7.312638,5621,825,1
27,78,completed,8.667908,7438,1224,1
28,88,completed,7.746647,6117,905,1
29,78,completed,11.541682,6898,949,1
30,70,completed,8.699397,5510,1032,1
31,85,completed,11.026386,8983,1632,1
32,85,completed,9.690705,9851,844,1
33,71,completed,5.696614,4687,718,2
34,70,completed,11.8356,4497,1241,1
35,88,completed,11.247235,6835,1294,1
36,75,completed,7.58955,6025,884,1
37,75,completed,12.147677,5675,1375,1
38,78,completed,7.282921,5014,1014,1
39,85,completed,7.969842,5617,931,1
40,92,completed,8.078163,4953,1118,1
41,85,completed,5.68489,4397,691,1
42,57,completed,9.741231,6030,1115,1
43,85,completed,13.704274,6337,1514,1
44,65,completed,8.575741,5207,1080,1
45,85,completed,6.767077,3739,1065,1
46,90,completed,10.122443,4640,1201,1
47,85,completed,8.4687,3389,1116,1
48,70,completed,12.87425,3274,1465,1
49,75,completed,9.091565,3433,1313,1
50,85,completed,7.205961,5249,820,1
51,90,completed,12.313569,7734,1215,1
52,78,completed,7.30008,4669,820,1
53,75,completed,7.033657,6808,830,1
54,85,completed,8.016941,4976,920,1
55,85,completed,8.926876,4635,898,1
56,100,completed,9.599468,6302,1311,1
57,88,completed,7.170805,6139,910,1
58,78,completed,10.420665,6309,1300,1
59,85,completed,9.128825,5485,1127,1
60,80,completed,6.669621,5164,957,1
61,85,completed,10.742286,4636,1223,1
62,82,completed,6.56286,5050,844,1
63,88,completed,6.978627,6254,776,1
64,85,completed,8.546656,6265,1033,1
65,92,completed,7.633907,7893,1148,1
66,78,completed,6.506724,6051,746,1
67,78,completed,10.348983,4724,1111,2
68,92,completed,9.309642,6351,1215,1
69,85,completed,11.1592,4916,1203,1
70,78,completed,8.320708,4159,987,1
71,80,completed,5.843281,4525,747,1
72,68,completed,8.740275,5214,1160,1
73,85,completed,8.085623,4138,973,1
74,85,completed,6.541264,4829,744,1
75,70,completed,6.382555,4465,879,1
76,82,completed,7.20675,5044,876,1
77,60,completed,7.702001,4977,1109,1
78,85,completed,6.752347,5854,959,1
79,65,completed,6.578207,4626,955,1
80,90,completed,10.595122,8287,1216,1
81,85,completed,7.130978,4979,939,1
82,78,completed,8.403828,4430,966,1
83,78,completed,8.064058,6532,1071,1
84,85,completed,7.835706,5878,985,1
85,75,completed,10.653359,5510,1212,1
86,75,completed,7.568041,6114,747,1
87,78,completed,11.485651,6738,1047,1
88,82,completed,11.401425,5394,1126,1
89,67,completed,9.24198,4912,1093,1
90,90,completed,7.917495,6336,1001,1
91,85,completed,8.60661,6450,1122,1
92,42,completed,12.786544,5523,1517,1
93,70,completed,8.94119,4403,1044,1
94,85,completed,7.143362,5673,737,1
95,78,completed,7.019037,6214,780,1
96,90,completed,7.809145,5560,1029,1
97,85,completed,7.990415,5216,1167,1
98,92,completed,11.196644,6845,1264,1
99,75,completed,8.279305,5796,973,1
100,80,completed,8.271547,6120,1066,1
