jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,88,completed,116.954573,5260,6055,1
2,85,completed,154.208256,6410,8018,1
3,90,completed,191.912133,5684,7376,1
4,82,completed,130.164118,4401,5541,1
5,88,completed,153.803982,6650,7710,1
6,80,completed,135.607462,6919,6878,1
7,90,completed,183.037691,5440,7455,1
8,84,completed,152.925659,6188,7905,1
9,86,completed,190.210478,7115,8929,1
10,80,completed,133.589085,4166,6139,1
11,88,completed,150.286623,6177,7629,1
12,92,completed,158.049672,5451,7377,1
13,90,completed,165.93337,6316,7164,1
14,88,completed,149.892497,5127,7000,1
15,85,completed,127.065185,4821,7827,1
16,80,completed,134.865531,3745,6850,1
17,85,completed,175.140452,6487,7583,1
18,82,completed,128.693837,7354,5543,1
19,86,completed,177.23088,6048,7868,1
20,80,completed,220.110732,5340,7367,1
21,84,completed,162.824032,5683,7521,1
22,90,completed,150.521019,5515,6762,1
23,78,completed,205.277086,6428,8095,1
24,80,completed,164.693336,6242,7758,1
25,92,completed,185.794293,7048,7879,1
26,84,completed,155.105616,5621,7286,1
27,88,completed,177.110563,7438,7458,1
28,90,completed,172.45685,6117,6569,1
29,90,completed,202.173848,6898,9447,1
30,82,completed,151.814252,5510,6761,1
31,88,completed,134.63318,8983,6821,1
32,85,completed,170.666707,9851,7300,1
33,86,completed,154.122829,4687,7754,1
34,82,completed,159.415003,4497,6291,1
35,84,completed,140.877198,6835,6354,1
36,85,completed,117.751474,6025,6217,1
37,88,completed,149.351757,5675,7682,1
38,84,completed,156.732042,5014,6894,1
39,85,completed,159.692811,5617,7756,1
40,90,completed,175.985792,4953,8217,1
41,86,completed,140.84142,4397,6412,1
42,86,completed,166.115422,6030,7866,1
43,88,completed,159.969925,6337,6577,1
44,86,completed,136.635833,5207,6852,1
45,90,completed,177.950029,3739,7873,1
46,86,completed,155.93573,4640,7952,1
47,88,completed,151.885992,3389,7377,1
48,80,completed,159.270529,3274,7515,1
49,92,completed,130.924164,3433,6910,1
50,84,completed,117.670133,5249,7172,1
51,90,completed,170.469684,7734,6924,1
52,88,completed,133.544481,4669,7275,1
53,88,completed,110.463356,6808,5277,1
54,93,completed,120.021459,4976,6154,1
55,86,completed,156.707995,4635,6242,1
56,88,completed,167.223547,6302,6524,1
57,86,completed,150.671699,6139,6470,1
58,92,completed,151.552616,6309,7951,1
59,90,completed,187.749507,5485,7953,1
60,88,completed,150.877048,5164,7123,1
61,85,completed,123.754757,4636,5786,1
62,82,completed,192.682398,5050,7056,1
63,90,completed,200.406822,6254,8826,1
64,88,completed,166.13375,6265,6112,1
65,88,completed,162.972092,7893,7960,1
66,88,completed,171.867731,6051,7033,1
67,85,completed,134.58313,4724,6896,1
68,92,completed,181.458882,6351,7565,1
69,82,completed,117.388839,4916,6583,1
70,92,completed,194.780918,4159,7016,1
71,83,completed,126.513958,4525,6826,1
72,87,completed,108.524027,5214,6044,1
73,80,completed,144.207322,4138,6805,1
74,72,completed,194.134141,4829,8698,1
75,83,completed,164.45898,4465,7526,1
76,78,completed,186.367732,5044,7519,1
77,80,completed,165.389348,4977,6989,1
78,82,completed,154.342685,5854,6601,1
79,84,completed,159.031826,4626,7852,1
80,87,completed,139.623745,8287,6377,1
81,86,completed,165.396792,4979,7156,1
82,86,completed,163.057857,4430,7069,1
83,84,completed,131.784173,6532,6486,1
84,84,completed,154.243429,5878,7274,1
85,84,completed,176.340758,5510,7193,1
86,87,completed,140.062929,6114,6320,1
87,92,completed,116.064364,6738,5813,1
88,90,completed,184.426912,5394,7130,1
89,88,completed,170.409274,4912,7162,1
90,86,completed,121.287882,6336,6298,1
91,88,completed,130.405892,6450,6250,1
92,85,completed,171.545711,5523,8085,1
93,82,completed,216.133471,4403,7825,1
94,86,completed,136.444616,5673,6699,1
95,89,completed,112.28881,6214,5741,1
96,93,completed,148.292386,5560,6904,1
97,82,completed,167.862945,5216,6432,1
98,84,completed,159.62066,6845,7422,1
99,88,completed,190.732985,5796,7610,1
100,86,completed,153.566235,6120,6907,1
