jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,90,completed,3.782645,5261,494,1
2,95,completed,5.79247,6411,473,1
3,95,completed,6.138759,5685,534,1
4,90,completed,7.656324,4402,496,1
5,90,completed,6.832698,6651,515,1
6,95,completed,7.029834,6920,601,1
7,95,completed,9.450042,5441,532,1
8,95,completed,7.782046,6189,516,1
9,95,completed,12.87307,7116,659,1
10,85,completed,6.457202,4167,434,1
11,90,completed,8.144532,6178,594,1
12,90,completed,6.937163,5452,510,1
13,95,completed,10.391997,6317,518,1
14,90,completed,6.719759,5128,515,1
15,90,completed,5.861526,4822,519,1
16,90,completed,2.75799,3746,414,1
17,90,completed,7.779818,6488,538,1
18,95,completed,9.646026,7355,719,1
19,95,completed,6.370998,6049,505,1
20,95,completed,6.811509,5341,530,1
21,90,completed,12.110081,5684,547,1
22,90,completed,6.402344,5516,535,1
23,90,completed,6.195324,6429,546,1
24,95,completed,6.606225,6243,492,1
25,95,completed,6.160955,7049,549,1
26,90,completed,5.962229,5622,513,1
27,95,completed,7.285577,7439,505,1
28,90,completed,7.793305,6118,595,1
29,95,completed,6.093397,6899,526,1
30,90,completed,7.104618,5511,520,1
31,90,completed,6.825363,8984,565,1
32,95,completed,8.174083,9852,548,1
33,95,completed,3.548035,4688,494,1
34,90,completed,5.398108,4498,432,1
35,95,completed,7.516984,6836,558,1
36,90,completed,8.067224,6026,565,1
37,90,completed,5.711046,5676,485,1
38,90,completed,8.100194,5015,438,1
39,90,completed,4.929619,5618,449,1
40,90,completed,5.858908,4954,449,1
41,90,completed,7.085752,4398,459,1
42,90,completed,8.594404,6031,542,1
43,95,completed,6.330738,6338,438,1
44,90,completed,6.208802,5208,498,1
45,95,completed,4.799461,3740,410,1
46,95,completed,3.056161,4641,434,1
47,95,completed,5.418714,3390,444,1
48,90,completed,5.536915,3275,468,1
49,90,completed,6.173714,3434,431,1
50,90,completed,5.725554,5250,509,1
51,95,completed,6.56361,7735,493,1
52,90,completed,6.808158,4670,463,1
53,95,completed,6.688108,6809,477,1
54,90,completed,5.905062,4977,501,1
55,90,completed,4.658686,4636,387,1
56,90,completed,7.560265,6303,492,1
57,90,completed,6.224599,6140,571,1
58,95,completed,9.492824,6310,580,1
59,95,completed,5.560692,5486,445,1
60,90,completed,5.636323,5165,466,1
61,95,completed,5.581847,4637,460,1
62,90,completed,7.080674,5051,536,1
63,90,completed,6.258289,6255,467,1
64,90,completed,10.31368,6266,547,1
65,95,completed,5.828198,7894,477,1
66,95,completed,6.626972,6052,505,1
67,90,completed,5.378242,4725,491,1
68,95,completed,7.244592,6352,499,1
69,90,completed,10.167898,4917,552,1
70,95,completed,6.903938,4160,426,1
71,90,completed,5.27863,4526,415,1
72,90,completed,6.335498,5215,559,1
73,90,completed,6.555711,4139,392,1
74,90,completed,6.807593,4830,468,1
75,90,completed,4.419346,4466,375,1
76,90,completed,6.936127,5045,469,1
77,90,completed,7.005759,4978,506,1
78,90,completed,7.762898,5855,554,1
79,90,completed,7.367451,4627,480,1
80,90,completed,11.88996,8288,641,1
81,95,completed,6.172548,4980,415,1
82,90,completed,10.983149,4431,455,1
83,95,completed,6.12353,6533,561,1
84,95,completed,6.801948,5879,477,1
85,90,completed,6.142238,5511,516,1
86,90,completed,6.750107,6115,510,1
87,95,completed,6.238281,6739,479,1
88,90,completed,10.463776,5395,505,1
89,90,completed,6.124428,4913,480,1
90,90,completed,5.832437,6337,521,1
91,90,completed,5.862194,6451,574,1
92,90,completed,5.142959,5524,493,1
93,90,completed,5.353967,4404,457,1
94,90,completed,5.671509,5674,417,1
95,90,completed,7.935377,6215,556,1
96,95,completed,7.399636,5561,486,1
97,90,completed,9.488954,5217,565,1
98,95,completed,6.841181,6846,534,1
99,95,completed,8.910648,5797,546,1
100,90,completed,6.395494,6121,525,1
