jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,80,completed,205.974975,5260,6864,1
2,88,completed,110.334262,6410,7045,1
3,85,completed,126.018932,5684,7455,1
4,80,completed,107.908042,4401,5675,1
5,85,completed,74.977767,6650,5995,1
6,85,completed,190.90141,6919,6143,1
7,88,completed,215.854626,5440,6639,1
8,70,completed,69.140996,6188,5832,1
9,88,completed,117.650317,7115,6606,1
10,75,completed,110.126235,4166,6911,1
11,86,completed,90.275463,6177,7511,1
12,85,completed,216.493497,5451,10290,1
13,88,completed,103.290846,6316,5979,1
14,82,completed,217.157617,5127,6979,1
15,85,completed,168.369396,4821,5635,1
16,80,completed,226.457133,3745,6046,1
17,71,completed,219.026883,6487,7274,1
18,88,completed,94.875194,7354,6488,1
19,82,completed,86.947073,6048,7163,1
20,80,completed,166.374613,5340,6836,1
21,80,completed,165.001358,5683,7139,1
22,80,completed,87.985067,5515,4939,1
23,75,completed,101.186272,6428,7060,1
24,82,completed,78.520498,6242,6522,1
25,92,completed,248.830494,7048,5585,1
26,80,completed,95.117588,5621,5888,1
27,90,completed,228.441325,7438,6879,1
28,88,completed,90.232687,6117,5846,1
29,92,completed,88.857406,6898,5782,1
30,80,completed,285.368552,5510,8800,1
31,88,completed,209.301359,8983,8987,1
32,88,completed,193.080884,9851,9169,1
33,80,completed,181.575834,4687,7399,1
34,80,completed,104.746541,4497,6579,1
35,88,completed,189.111048,6835,7102,1
36,90,completed,105.170377,6025,6793,1
37,85,completed,121.437355,5675,8006,1
38,80,completed,199.38584,5014,7747,1
39,80,completed,89.884856,5617,6393,1
40,85,completed,96.01819,4953,5203,1
41,85,completed,188.476475,4397,8769,1
42,80,completed,81.704077,6030,6335,1
43,88,completed,91.453163,6337,6396,1
44,70,completed,120.601514,5207,7544,1
45,85,completed,115.99154,3739,6955,1
46,85,completed,141.206892,4640,5301,1
47,80,completed,150.940968,3389,6776,1
48,80,completed,91.277687,3274,5405,1
49,85,completed,130.049724,3433,6488,1
50,58,completed,178.395845,5249,6664,1
51,85,completed,137.45092,7734,8743,1
52,80,completed,61.006987,4669,4217,1
53,88,completed,137.903111,6808,7518,1
54,85,completed,92.486509,4976,7114,1
55,86,completed,98.293674,4635,5913,1
56,82,completed,133.361031,6302,5392,1
57,85,completed,126.864092,6139,6042,1
58,88,completed,152.635933,6309,8910,1
59,82,completed,221.543025,5485,7466,1
60,80,completed,85.635609,5164,6825,1
61,85,completed,69.44246,4636,4964,1
62,85,completed,217.05029,5050,6465,1
63,88,completed,46.662458,6254,6887,1
64,92,completed,154.768179,6265,5779,1
65,88,completed,164.886679,7893,6405,1
66,88,completed,132.718993,6051,8968,1
67,82,completed,104.794472,4724,6128,1
68,88,completed,197.030235,6351,6669,1
69,80,completed,203.519107,4916,8608,1
70,85,completed,129.151315,4159,6177,1
71,85,completed,117.990563,4525,5543,1
72,85,completed,78.179578,5214,6028,1
73,57,completed,81.74555,4138,6185,1
74,75,completed,81.672085,4829,4821,1
75,85,completed,74.002717,4465,6238,1
76,85,completed,165.230979,5044,6742,1
77,85,completed,98.066271,4977,7330,1
78,88,completed,86.927286,5854,7421,1
79,88,completed,125.389834,4626,6614,1
80,88,completed,122.328561,8287,9476,1
81,85,completed,323.964861,4979,7101,1
82,71,completed,131.103096,4430,6369,1
83,70,completed,106.526951,6532,9061,1
84,85,completed,80.357577,5878,5913,1
85,80,completed,71.033189,5510,5191,1
86,72,completed,94.941008,6114,6500,1
87,86,completed,120.272362,6738,8129,1
88,85,completed,155.229558,5394,6627,1
89,80,completed,102.726554,4912,7316,1
90,85,completed,147.054359,6336,6482,1
91,85,completed,159.184777,6450,6905,1
92,90,completed,167.717909,5523,8073,1
93,80,completed,159.348588,4403,5672,1
94,82,completed,99.89107,5673,4868,1
95,90,completed,72.387207,6214,4899,1
96,88,completed,128.665178,5560,6705,1
97,85,completed,167.162507,5216,5768,1
98,88,completed,123.435285,6845,7957,1
99,90,completed,164.043265,5796,5879,1
100,85,completed,149.884003,6120,6982,1
