jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,92,completed,26.952591,5260,1627,1
2,88,completed,49.843308,6410,2043,1
3,92,completed,38.821503,5684,2240,1
4,78,completed,37.236873,4401,1801,1
5,88,completed,27.921158,6650,1528,1
6,85,completed,35.86769,6919,1841,1
7,88,completed,41.470557,5440,1757,1
8,86,completed,27.831393,6188,1481,1
9,86,completed,44.155315,7115,2024,1
10,78,completed,28.464142,4166,1313,1
11,82,completed,392.688815,6177,1607,1
12,88,completed,45.833403,5451,1939,1
13,90,completed,39.422398,6316,2147,1
14,88,completed,26.130789,5127,1506,1
15,82,completed,31.299987,4821,1604,1
16,55,completed,24.17734,3745,1362,1
17,88,completed,42.992066,6487,1919,1
18,82,completed,41.615568,7354,2000,1
19,85,completed,35.834919,6048,1755,1
20,82,completed,39.532243,5340,1652,1
21,86,completed,45.17973,5683,1656,1
22,92,completed,31.079931,5515,1587,1
23,82,completed,28.674585,6428,1608,1
24,70,completed,39.214872,6242,1883,1
25,92,completed,43.439027,7048,1794,1
26,84,completed,31.706439,5621,1439,1
27,88,completed,45.590521,7438,1778,1
28,88,completed,26.801305,6117,1409,1
29,88,completed,34.189471,6898,1787,1
30,80,completed,46.792897,5510,1932,1
31,88,completed,38.595162,8983,1608,1
32,86,completed,41.062933,9851,1750,1
33,90,completed,24.369128,4687,1425,1
34,75,completed,34.859159,4497,1738,1
35,88,completed,27.323535,6835,1578,1
36,82,completed,36.431642,6025,1629,1
37,80,completed,28.917502,5675,1404,1
38,82,completed,34.712612,5014,1913,1
39,85,completed,23.191441,5617,1183,1
40,88,completed,43.642027,4953,2041,1
41,70,completed,43.686004,4397,1887,1
42,82,completed,26.317764,6030,1428,1
43,90,completed,25.396853,6337,1356,1
44,85,completed,33.184966,5207,1627,1
45,92,completed,34.325309,3739,1535,1
46,88,completed,54.093617,4640,2079,1
47,92,completed,30.774734,3389,1399,1
48,76,completed,33.42476,3274,1676,1
49,88,completed,35.568369,3433,1988,1
50,88,completed,24.165784,5249,1397,1
51,86,completed,41.94118,7734,1965,1
52,78,completed,38.896127,4669,1587,1
53,90,completed,36.140891,6808,1774,1
54,88,completed,27.797473,4976,1382,1
55,86,completed,27.989988,4635,1259,1
56,82,completed,33.463064,6302,1804,1
57,78,completed,40.205923,6139,1576,1
58,92,completed,33.976933,6309,1674,1
59,86,completed,29.131797,5485,1471,1
60,72,completed,38.423515,5164,1840,1
61,88,completed,48.22789,4636,1299,1
62,85,completed,29.416441,5050,1417,1
63,88,completed,28.592934,6254,1437,1
64,92,completed,36.496581,6265,1852,1
65,88,completed,30.80553,7893,1666,1
66,88,completed,33.536129,6051,1712,1
67,67,completed,28.627581,4724,1518,1
68,88,completed,28.757073,6351,1652,1
69,80,completed,31.386492,4916,1663,1
70,92,completed,35.109926,4159,1677,1
71,60,completed,30.310322,4525,1154,1
72,78,completed,39.295435,5214,1806,1
73,78,completed,31.015604,4138,1657,1
74,80,completed,30.98196,4829,1541,1
75,88,completed,30.218832,4465,1409,1
76,78,completed,32.677676,5044,1614,1
77,78,completed,37.625588,4977,1687,1
78,82,completed,37.432773,5854,1707,1
79,67,completed,33.086801,4626,1264,1
80,83,completed,47.114437,8287,2192,1
81,90,completed,28.496001,4979,1512,1
82,82,completed,28.598204,4430,1321,1
83,85,completed,31.4457,6532,1578,1
84,82,completed,34.186969,5878,1581,1
85,88,completed,31.501536,5510,1582,1
86,82,completed,38.521178,6114,1630,1
87,88,completed,26.826347,6738,1390,1
88,88,completed,31.882209,5394,1644,1
89,86,completed,29.534285,4912,1440,1
90,88,completed,46.120696,6336,1896,1
91,88,completed,47.691808,6450,1570,1
92,88,completed,39.451827,5523,1512,1
93,82,completed,36.984825,4403,1891,1
94,72,completed,38.279841,5673,1437,1
95,88,completed,31.560142,6214,1540,1
96,92,completed,33.506298,5560,1608,1
97,82,completed,37.809525,5216,1531,1
98,86,completed,41.508026,6845,1724,1
99,85,completed,31.332272,5796,1366,1
100,85,completed,39.318997,6120,1498,1
