jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,78,completed,12.284691,5324,985,1
2,93,completed,19.961288,6473,1015,1
3,92,completed,4.489817,5753,803,1
4,57,completed,22.765189,4464,909,1
5,85,completed,11.604591,6713,1458,2
6,87,completed,15.019179,6983,5870,1
7,75,completed,25.075528,5509,1557,1
8,70,completed,14.417819,6251,912,1
9,78,completed,16.688689,7179,1396,1
10,57,completed,30.525938,4231,1049,1
11,71,completed,10.169916,6240,3594,2
12,75,completed,12.490987,5514,2233,1
13,88,completed,22.667659,6379,1700,1
14,57,completed,19.372106,5190,1365,1
15,83,completed,11.461837,4885,1335,1
16,70,completed,3.956309,3814,689,1
17,67,completed,10.050949,6551,3636,1
18,85,completed,9.67895,7418,975,1
19,71,completed,6.732816,6112,833,1
20,57,completed,5.634778,5403,1065,1
21,57,completed,7.402206,5747,777,1
22,78,completed,31.624128,5580,1493,1
23,85,completed,6.794589,6492,939,1
24,57,completed,7.840818,6306,975,1
25,92,completed,17.881112,7111,1374,1
26,70,completed,32.188458,5686,766,1
27,83,completed,28.502412,7501,1206,1
28,78,completed,41.319667,6180,11754,1
29,92,completed,5.592359,6962,1004,1
30,57,completed,11.342001,5573,871,1
31,78,completed,15.844789,9047,1380,1
32,85,completed,34.854308,9914,1223,1
33,0,completed,31.049702,4752,902,1
34,57,completed,16.989307,4560,996,1
35,57,completed,32.830772,6900,906,1
36,57,completed,26.540121,6090,765,1
37,86,completed,45.377721,5738,4372,2
38,57,completed,14.747962,5077,1454,1
39,57,completed,23.313848,5680,1275,1
40,75,completed,33.599332,5016,1217,1
41,60,completed,23.775072,4462,758,1
42,75,completed,7.148611,6094,998,1
43,92,completed,9.649283,6406,1374,1
44,70,completed,49.442692,5272,1523,1
45,70,completed,6.877389,3808,1325,1
46,75,completed,52.119462,4705,1557,1
47,92,completed,11.155442,3453,1182,1
48,78,completed,13.451545,3338,1539,1
49,88,completed,16.333362,3497,926,1
50,78,completed,15.913018,5312,1207,2
51,85,completed,6.613689,7782,1107,1
52,57,completed,5.847195,4733,762,1
53,92,completed,40.683673,6873,1321,1
54,67,completed,12.309018,5040,4841,1
55,70,completed,10.524308,4699,1028,1
56,67,completed,3.801828,6366,1481,1
57,65,completed,44.504152,6202,4562,1
58,88,completed,15.112973,6372,3665,1
59,57,completed,2.648141,5549,811,1
60,60,completed,8.828083,5233,1092,1
61,94,completed,4.274372,4705,663,1
62,85,completed,8.835689,5114,989,1
63,73,completed,2.677329,6318,1002,1
64,88,completed,10.164497,6313,1387,1
65,88,completed,11.929768,7957,1401,1
66,78,completed,7.512402,6115,966,1
67,57,completed,9.225041,4787,899,1
68,92,completed,15.560063,6415,1497,1
69,78,completed,13.853717,4979,1948,1
70,75,completed,17.187351,4222,3703,1
71,60,completed,3.037115,4573,772,1
72,57,completed,6.369121,5278,859,1
73,71,completed,15.06651,4202,4626,1
74,60,completed,4.296637,4893,649,1
75,57,completed,8.368193,4529,1259,1
76,60,completed,10.588896,5108,788,1
77,57,completed,17.139593,5040,1076,1
78,92,completed,10.672598,5923,1133,1
79,67,completed,14.581376,4689,1078,1
80,78,completed,9.279094,8351,1036,1
81,71,completed,29.42982,5042,925,1
82,43,completed,6.063909,4493,989,1
83,92,completed,8.327844,6596,758,1
84,78,completed,9.832849,5942,881,1
85,57,completed,6.779187,5574,2578,1
86,57,completed,3.471932,6178,857,1
87,83,completed,6.374259,6801,1283,1
88,92,completed,17.652841,5457,1056,1
89,57,completed,7.19874,4975,2216,1
90,88,completed,14.87941,6399,1242,1
91,85,completed,6.415558,6500,1193,1
92,85,completed,30.373284,5586,1602,1
93,60,completed,4.468449,4466,842,1
94,60,completed,3.149939,5721,778,1
95,85,completed,9.682661,6277,1086,1
96,85,completed,38.823821,5625,979,1
97,57,completed,15.970301,5279,1217,1
98,85,completed,13.667231,6908,1070,2
99,92,completed,5.563632,5859,1050,2
100,56,completed,28.803949,6185,1154,1
