jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,57,completed,9.265082,5323,2242,1
2,95,completed,11.104801,6473,1204,1
3,90,completed,2.059509,5747,406,1
4,57,completed,8.946685,4464,852,1
5,78,completed,3.297398,6713,518,1
6,75,completed,9.748465,6983,1357,1
7,80,completed,12.183503,5504,2069,1
8,70,completed,2.562185,6251,350,1
9,83,completed,17.352839,7178,1692,1
10,57,completed,8.804787,4230,1243,1
11,43,completed,8.672139,6241,1288,1
12,100,completed,11.705848,5515,1528,1
13,100,completed,12.272193,6379,2180,1
14,80,completed,8.011601,5190,1822,1
15,90,completed,7.181213,4884,1506,1
16,57,completed,1.645445,3809,918,1
17,100,completed,7.317346,6550,1724,2
18,71,completed,5.335337,7418,1082,2
19,71,completed,8.710555,6111,1332,1
20,57,completed,14.533072,5403,1903,1
21,80,completed,6.754428,5746,389,1
22,38,completed,26.991291,5578,3100,1
23,57,completed,6.312517,6491,942,1
24,57,completed,4.922302,6305,1180,1
25,100,completed,13.687286,7112,1857,1
26,70,completed,1.84174,5684,438,1
27,70,completed,2.247201,7501,526,1
28,87,completed,8.598581,6180,1510,1
29,75,completed,18.088146,6961,2783,1
30,71,completed,3.70977,5574,686,2
31,86,completed,7.606089,9046,1719,1
32,88,completed,19.690716,9914,4376,1
33,80,completed,5.944508,4750,1315,1
34,57,completed,32.969908,4560,3699,1
35,57,completed,18.921998,6898,1791,1
36,57,completed,15.856431,6090,1874,1
37,75,completed,13.757197,5738,1395,1
38,71,completed,5.768901,5077,1319,1
39,57,completed,9.924796,5680,1702,1
40,89,completed,22.321542,5016,3416,1
41,75,completed,1.918003,4460,328,1
42,57,completed,26.531593,6093,4415,1
43,100,completed,29.374022,6400,2724,1
44,70,completed,2.858698,5270,391,1
45,90,completed,2.427435,3802,340,1
46,100,completed,4.666757,4704,962,1
47,100,completed,14.899603,3454,1264,1
48,90,completed,5.030839,3337,1103,1
49,80,completed,15.763248,3496,1728,1
50,71,completed,7.367151,5313,1137,1
51,83,completed,7.037061,7797,1356,1
52,57,completed,43.726154,4732,5224,1
53,83,completed,6.270768,6871,1230,1
54,75,completed,8.522999,5039,2007,1
55,57,completed,10.832497,4698,2582,1
56,83,completed,14.174749,6365,1701,1
57,90,completed,1.561627,6203,393,1
58,75,completed,4.538995,6372,1283,1
59,71,completed,14.081982,5548,1555,1
60,70,completed,2.037286,5227,381,1
61,71,completed,11.600572,4699,1832,1
62,80,completed,3.298869,5113,494,1
63,57,completed,5.554945,6317,1674,1
64,100,completed,11.223334,6328,1052,1
65,92,completed,2.298497,7956,447,1
66,70,completed,2.814124,6114,447,1
67,71,completed,28.163204,4787,2333,1
68,100,completed,18.229511,6414,2120,1
69,57,completed,13.237033,4979,1599,1
70,100,completed,11.680793,4222,1209,1
71,57,completed,1.869073,4589,1228,1
72,71,completed,10.367108,5277,2371,1
73,57,completed,9.198686,4201,855,1
74,80,completed,8.291553,4892,1136,1
75,57,completed,6.064558,4528,1086,1
76,86,completed,8.938083,5108,1184,1
77,70,completed,5.309224,5041,735,1
78,90,completed,1.572357,5918,431,1
79,85,completed,5.53918,4676,1484,1
80,68,completed,3.187356,8350,423,1
81,71,completed,24.402162,5043,4148,1
82,83,completed,8.22171,4494,1529,1
83,71,completed,14.705261,6595,1404,1
84,71,completed,13.680953,5941,1324,1
85,90,completed,11.744436,5573,2085,2
86,80,completed,1.357463,6177,316,1
87,100,completed,35.097858,6801,3015,1
88,80,completed,3.312876,5457,487,1
89,57,completed,5.849518,4975,961,1
90,70,completed,2.507979,6399,437,1
91,80,completed,1.819242,6513,329,1
92,75,completed,4.949039,5586,1311,1
93,71,completed,30.267463,4466,2689,1
94,57,completed,10.242567,5736,1973,1
95,85,completed,7.471265,6277,1314,1
96,70,completed,3.167315,5623,425,1
97,67,completed,5.55868,5279,1788,1
98,83,completed,9.850311,6908,2280,1
99,90,completed,2.197315,5860,472,1
100,70,completed,2.339012,6183,417,1
