jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,88,completed,9.181349,5261,363,1
2,95,completed,10.841004,6411,539,1
3,95,completed,11.349291,5685,450,1
4,85,completed,14.682681,4402,447,1
5,95,completed,10.952399,6651,562,1
6,97,completed,9.999836,6920,483,1
7,95,completed,17.785126,5441,462,1
8,88,completed,13.727104,6189,552,1
9,95,completed,10.522029,7116,472,1
10,85,completed,9.171263,4167,424,1
11,88,completed,10.57769,6178,588,1
12,95,completed,25.189739,5452,581,1
13,95,completed,11.6768,6317,532,1
14,85,completed,11.652154,5128,504,1
15,95,completed,9.992469,4822,470,1
16,85,completed,9.70968,3746,416,1
17,92,completed,16.291387,6488,514,1
18,92,completed,12.457933,7355,448,1
19,92,completed,8.49791,6049,456,1
20,85,completed,9.742241,5341,503,1
21,88,completed,12.123727,5684,460,1
22,90,completed,16.184265,5516,609,1
23,88,completed,13.333775,6429,514,1
24,88,completed,11.078557,6243,494,1
25,95,completed,19.510061,7049,609,1
26,85,completed,28.146527,5622,526,1
27,95,completed,17.769761,7439,608,1
28,95,completed,14.808858,6118,547,1
29,95,completed,11.672318,6899,554,1
30,85,completed,15.209276,5511,556,1
31,95,completed,16.624642,8984,588,1
32,92,completed,9.971379,9852,566,1
33,88,completed,10.523996,4688,427,1
34,80,completed,8.830042,4498,478,1
35,92,completed,13.109904,6836,505,1
36,88,completed,8.786848,6026,493,1
37,95,completed,8.708146,5676,490,1
38,85,completed,15.954476,5015,459,1
39,85,completed,11.069242,5618,523,1
40,95,completed,28.7061,4954,462,1
41,85,completed,9.54969,4398,453,1
42,85,completed,12.059113,6031,539,1
43,97,completed,14.165842,6338,532,1
44,92,completed,9.328967,5208,542,1
45,95,completed,8.556454,3740,403,1
46,95,completed,13.930687,4641,533,1
47,95,completed,10.810105,3390,403,1
48,90,completed,9.844297,3275,504,1
49,95,completed,10.880923,3434,541,1
50,85,completed,8.520802,5250,469,1
51,96,completed,11.438711,7735,553,1
52,85,completed,7.182437,4670,377,1
53,95,completed,9.883146,6809,518,1
54,95,completed,11.890599,4977,520,1
55,85,completed,8.01937,4636,352,1
56,92,completed,17.680674,6303,521,1
57,92,completed,19.150755,6140,625,1
58,95,completed,13.509102,6310,621,1
59,88,completed,15.496466,5486,541,1
60,85,completed,12.741073,5165,569,1
61,88,completed,6.755142,4637,360,1
62,88,completed,15.007583,5051,506,1
63,95,completed,14.16252,6255,517,1
64,96,completed,10.209759,6266,568,1
65,92,completed,15.278639,7894,592,1
66,95,completed,13.512642,6052,529,1
67,87,completed,7.473317,4725,434,1
68,95,completed,19.776124,6352,536,1
69,85,completed,13.318614,4917,473,1
70,95,completed,16.343229,4160,422,1
71,85,completed,13.406225,4526,494,1
72,87,completed,8.165907,5215,361,1
73,85,completed,5.394898,4139,352,1
74,85,completed,6.990632,4830,358,1
75,85,completed,5.727691,4466,343,1
76,87,completed,16.37639,5045,477,1
77,85,completed,6.442685,4978,446,1
78,92,completed,14.930736,5855,538,1
79,85,completed,20.000522,4627,444,1
80,95,completed,12.564573,8288,608,1
81,85,completed,13.237344,4980,469,1
82,88,completed,14.055309,4431,418,1
83,90,completed,6.840335,6533,364,1
84,92,completed,10.076381,5879,539,1
85,85,completed,9.285934,5511,393,1
86,85,completed,6.125357,6115,404,1
87,96,completed,14.140485,6739,478,1
88,92,completed,11.117034,5395,488,1
89,85,completed,6.773171,4913,372,1
90,95,completed,10.826379,6337,483,1
91,92,completed,14.343103,6451,529,1
92,92,completed,12.92852,5524,532,1
93,85,completed,7.586854,4404,375,1
94,85,completed,9.486899,5674,410,1
95,95,completed,6.852555,6215,443,1
96,95,completed,10.24962,5561,462,1
97,88,completed,22.77626,5217,512,1
98,95,completed,11.587687,6846,491,1
99,95,completed,20.090278,5797,467,1
100,95,completed,14.601384,6121,645,1
