jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,57.0,completed,51.483768,5260,6933,1
2,90.0,completed,67.74478,6410,9859,1
3,75.0,completed,73.751414,5684,9996,1
4,57.0,completed,54.518911,4401,6435,1
5,67.0,completed,88.752381,6650,11798,1
6,90.0,completed,62.920993,6919,8296,1
7,81.0,completed,64.631794,5440,10043,1
8,71.43,completed,66.952496,6188,8408,1
9,92.0,completed,85.269854,7115,9644,1
10,50.0,completed,64.423603,4166,9102,1
11,57.0,completed,51.571214,6177,6990,1
12,92.0,completed,74.351984,5451,10251,1
13,100.0,completed,73.8787,6316,9569,1
14,57.0,completed,48.1908,5127,7649,1
15,80.0,completed,89.815293,4821,13128,1
16,57.0,completed,60.737572,3745,9148,1
17,83.0,completed,62.990314,6487,7666,1
18,71.0,completed,67.436092,7354,9071,1
19,72.0,completed,64.287488,6048,9266,1
20,57.0,completed,69.438806,5340,9659,1
21,57.0,completed,63.400817,5683,9608,1
22,75.0,completed,66.333558,5515,9372,1
23,71.0,completed,74.439184,6428,11015,1
24,57.0,completed,61.843819,6242,6681,1
25,100.0,completed,81.454969,7048,10163,1
26,57.0,completed,68.104376,5621,9243,1
27,92.0,completed,78.72509,7438,10011,1
28,92.0,completed,84.433166,6117,11142,1
29,86.0,completed,91.90597,6898,13752,1
30,57.0,completed,54.30023,5510,8850,1
31,67.0,completed,69.866272,8983,9261,1
32,85.0,completed,59.701513,9851,8165,1
33,60.0,completed,76.496296,4687,11328,1
34,85.0,completed,70.963983,4497,9245,1
35,57.0,completed,74.491046,6835,7742,1
36,57.0,completed,62.768728,6025,8758,1
37,80.0,completed,68.738017,5675,9438,1
38,57.0,completed,50.923393,5014,6676,1
39,57.0,completed,50.00455,5617,7042,1
40,90.0,completed,52.460934,4953,8751,1
41,85.0,completed,56.653891,4397,7671,1
42,63.0,completed,51.455404,6030,7396,1
43,75.0,completed,113.736685,6337,14323,1
44,75.0,completed,89.501458,5207,11286,1
45,80.0,completed,58.59873,3739,10470,1
46,85.0,completed,87.045393,4640,12049,1
47,90.0,completed,83.639631,3389,9285,1
48,66.0,completed,119.112829,3274,15726,1
49,100.0,completed,77.83832,3433,10034,1
50,60.0,completed,66.03473,5249,8839,1
51,83.0,completed,77.620162,7734,11850,1
52,57.0,completed,60.483742,4669,9027,1
53,90.0,completed,63.212948,6808,9071,1
54,75.0,completed,65.307271,4976,9166,1
55,57.0,completed,55.153335,4635,6570,1
56,33.0,completed,113.26039,6302,13832,1
57,100.0,completed,90.444961,6139,12570,1
58,92.0,completed,65.458563,6309,8901,1
59,57.0,completed,92.658807,5485,11594,1
60,57.0,completed,38.893906,5164,6025,1
61,82.0,completed,70.521911,4636,9110,1
62,71.0,completed,62.618341,5050,9315,1
63,75.0,completed,88.841181,6254,10705,1
64,92.0,completed,85.361504,6265,11516,1
65,83.0,completed,86.355962,7893,11943,1
66,75.0,completed,58.342169,6051,11334,1
67,57.0,completed,57.794751,4724,7823,1
68,95.0,completed,73.866455,6351,11132,1
69,57.0,completed,56.012748,4916,7492,1
70,75.0,completed,90.414962,4159,11940,1
71,57.0,completed,78.562855,4525,10856,1
72,57.0,completed,53.747057,5214,8220,1
73,57.14,completed,50.834125,4138,7296,1
74,57.0,completed,50.989069,4829,7522,1
75,57.0,completed,61.79265,4465,8670,1
76,57.0,completed,44.419437,5044,5340,1
77,57.14,completed,59.119872,4977,8016,1
78,100.0,completed,67.143784,5854,8650,1
79,67.0,completed,75.180632,4626,11406,1
80,89.0,completed,87.580192,8287,10629,1
81,71.0,completed,59.417385,4979,8578,1
82,85.0,completed,52.373392,4430,6255,1
83,71.0,completed,73.038814,6532,9578,1
84,71.0,completed,84.378897,5878,9163,1
85,43.0,completed,48.215922,5510,5547,1
86,60.0,completed,71.506678,6114,11134,1
87,85.0,completed,86.601036,6738,11875,1
88,84.0,completed,83.731678,5394,12223,1
89,57.0,completed,63.58649,4912,8411,1
90,88.0,completed,64.747956,6336,8970,1
91,88.0,completed,82.476554,6450,11209,1
92,85.0,completed,67.830889,5523,9364,1
93,57.0,completed,56.83575,4403,8889,1
94,57.0,completed,53.805916,5673,7777,1
95,92.0,completed,68.928323,6214,9539,1
96,88.0,completed,48.999951,5560,6332,1
97,57.0,completed,61.974924,5216,8404,1
98,92.0,completed,80.278657,6845,13527,1
99,75.0,completed,84.34007,5796,11955,1
100,85.0,completed,81.982307,6120,12226,2
