jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,78,completed,15.340917,5260,1088,1
2,85,completed,28.769256,6410,1159,1
3,85,completed,17.670814,5684,1120,1
4,80,completed,13.811068,4401,980,1
5,85,completed,24.476383,6650,1339,1
6,85,completed,15.385994,6919,1306,1
7,88,completed,19.781869,5440,1355,1
8,85,completed,18.051295,6188,1016,1
9,85,completed,15.242884,7115,1346,1
10,80,completed,18.279902,4166,1247,1
11,78,completed,11.882714,6177,984,1
12,90,completed,25.644807,5451,1237,1
13,85,completed,18.096907,6316,1419,1
14,85,completed,14.056996,5127,993,1
15,85,completed,13.424213,4821,1248,1
16,75,completed,13.325653,3745,1011,1
17,90,completed,22.810217,6487,1229,1
18,88,completed,16.496032,7354,1137,1
19,90,completed,19.196755,6048,1259,1
20,75,completed,25.613712,5340,1096,1
21,82,completed,13.034021,5683,1074,1
22,75,completed,14.421689,5515,1025,1
23,85,completed,18.65084,6428,1201,1
24,80,completed,17.595203,6242,1058,1
25,88,completed,19.035796,7048,1318,2
26,75,completed,15.782798,5621,1018,1
27,87,completed,17.889791,7438,1327,1
28,78,completed,16.26349,6117,1381,1
29,88,completed,22.399903,6898,1221,2
30,78,completed,17.450146,5510,1205,1
31,85,completed,18.753713,8983,1102,1
32,85,completed,13.90365,9851,1031,1
33,80,completed,9.398131,4687,935,1
34,75,completed,15.009835,4497,1262,1
35,78,completed,17.309868,6835,1164,1
36,82,completed,22.315325,6025,1155,1
37,85,completed,16.728924,5675,1157,1
38,72,completed,12.724282,5014,843,1
39,75,completed,15.151297,5617,893,1
40,85,completed,15.773063,4953,1066,1
41,70,completed,12.930683,4397,927,1
42,78,completed,15.544897,6030,1095,1
43,90,completed,15.08528,6337,1189,1
44,82,completed,24.980689,5207,1221,1
45,85,completed,14.671385,3739,1032,1
46,85,completed,12.331653,4640,986,1
47,85,completed,17.075263,3389,1215,1
48,85,completed,15.682902,3274,1227,1
49,78,completed,17.867329,3433,1252,1
50,82,completed,13.622813,5249,1010,1
51,88,completed,18.967321,7734,1360,1
52,78,completed,12.249383,4669,897,1
53,85,completed,19.734596,6808,1095,1
54,88,completed,16.632921,4976,1471,1
55,75,completed,10.446314,4635,896,1
56,85,completed,17.329507,6302,1304,1
57,85,completed,19.500772,6139,1470,1
58,88,completed,12.409848,6309,931,1
59,85,completed,12.976261,5485,1104,1
60,75,completed,25.302618,5164,1030,1
61,85,completed,20.690368,4636,1071,1
62,90,completed,14.995439,5050,1027,1
63,85,completed,14.194419,6254,1284,1
64,82,completed,20.457684,6265,1473,1
65,86,completed,15.223046,7893,1134,1
66,88,completed,23.644201,6051,1276,1
67,80,completed,20.110272,4724,1281,1
68,85,completed,27.309462,6351,1394,1
69,85,completed,14.11892,4916,1040,1
70,85,completed,14.344363,4159,1128,1
71,75,completed,12.597135,4525,754,1
72,82,completed,13.914745,5214,980,1
73,78,completed,12.312449,4138,959,1
74,85,completed,29.587834,4829,1009,1
75,80,completed,14.917722,4465,999,1
76,75,completed,17.87476,5044,1258,1
77,85,completed,20.752953,4977,1229,1
78,80,completed,14.690026,5854,1269,1
79,78,completed,14.223626,4626,1070,1
80,78,completed,18.886406,8287,1445,1
81,88,completed,13.185636,4979,1217,1
82,75,completed,29.561204,4430,1092,1
83,90,completed,21.741537,6532,1082,1
84,85,completed,15.607444,5878,1151,1
85,80,completed,15.357742,5510,1161,1
86,80,completed,16.11555,6114,1097,1
87,88,completed,18.078946,6738,1280,1
88,85,completed,16.842923,5394,1212,1
89,88,completed,16.000188,4912,1011,1
90,78,completed,18.82047,6336,1121,1
91,85,completed,16.644958,6450,1235,1
92,85,completed,14.276456,5523,1026,1
93,80,completed,10.502546,4403,1137,1
94,80,completed,15.354747,5673,1044,1
95,85,completed,14.601133,6214,1059,1
96,76,completed,19.558783,5560,1137,1
97,80,completed,13.880882,5216,1010,1
98,85,completed,16.437858,6845,1250,1
99,85,completed,16.681342,5796,1308,1
100,85,completed,13.118321,6120,1150,1
