jira_id,coverage_percentage,status,eval_time,prompt_tokens,completion_tokens,total_attempts
1,84,completed,68.028418,5260,3337,1
2,88,completed,79.75626,6410,4288,1
3,80,completed,94.750393,5684,4390,1
4,78,completed,94.839377,4401,4135,1
5,85,completed,83.914728,6650,4684,1
6,86,completed,73.172222,6919,4888,1
7,90,completed,71.979588,5440,4161,1
8,82,completed,76.59663,6188,3336,1
9,88,completed,73.841164,7115,3932,1
10,80,completed,136.093901,4166,4379,1
11,88,completed,108.929309,6177,3617,1
12,92,completed,164.070997,5451,4533,1
13,90,completed,76.539661,6316,3995,1
14,86,completed,69.05473,5127,4519,1
15,80,completed,64.176417,4821,3226,1
16,65,completed,60.143944,3745,3513,1
17,86,completed,79.462239,6487,3647,1
18,88,completed,89.707612,7354,3496,1
19,88,completed,83.098019,6048,3297,1
20,82,completed,100.564933,5340,4311,1
21,86,completed,92.566804,5683,4321,1
22,90,completed,53.905068,5515,3043,1
23,86,completed,99.671226,6428,4143,1
24,76,completed,89.260166,6242,4380,1
25,92,completed,70.533592,7048,4398,1
26,90,completed,89.624275,5621,4009,1
27,90,completed,68.835383,7438,3790,1
28,90,completed,98.702713,6117,3608,1
29,88,completed,67.807357,6898,3545,1
30,80,completed,182.679252,5510,4996,1
31,88,completed,66.012907,8983,3990,1
32,86,completed,55.41866,9851,3465,1
33,88,completed,45.852201,4687,2714,1
34,84,completed,74.844713,4497,4012,1
35,82,completed,54.709638,6835,3698,1
36,86,completed,89.845011,6025,3594,1
37,86,completed,82.744978,5675,4011,1
38,78,completed,76.532801,5014,3982,1
39,80,completed,69.012434,5617,3924,1
40,90,completed,71.463555,4953,3441,1
41,85,completed,57.851872,4397,3039,1
42,80,completed,119.060394,6030,4416,1
43,88,completed,119.441688,6337,4250,1
44,86,completed,74.906833,5207,3869,1
45,90,completed,84.429952,3739,3455,1
46,86,completed,52.541504,4640,3795,1
47,88,completed,66.090237,3389,3309,1
48,88,completed,81.208944,3274,3650,1
49,90,completed,65.999208,3433,3859,1
50,86,completed,66.079559,5249,3394,1
51,88,completed,108.363771,7734,4373,1
52,86,completed,62.799115,4669,3576,1
53,87,completed,73.504394,6808,4018,1
54,88,completed,61.717491,4976,3124,1
55,90,completed,45.02681,4635,2530,1
56,84,completed,80.995928,6302,4330,1
57,88,completed,102.009627,6139,4616,1
58,91,completed,68.14964,6309,3659,1
59,86,completed,82.82833,5485,3986,1
60,85,completed,64.454206,5164,3725,1
61,71,completed,79.390456,4636,3792,1
62,80,completed,68.186887,5050,4587,1
63,92,completed,88.373407,6254,4637,1
64,92,completed,66.057844,6265,3173,1
65,85,completed,66.215413,7893,2985,1
66,88,completed,88.958254,6051,4065,1
67,85,completed,95.991514,4724,4138,1
68,90,completed,86.307404,6351,4410,1
69,78,completed,65.0193,4916,4099,1
70,90,completed,63.191431,4159,3327,1
71,82,completed,90.669696,4525,4177,1
72,82,completed,63.039468,5214,3333,1
73,80,completed,55.962781,4138,3553,1
74,80,completed,84.854523,4829,3019,1
75,82,completed,63.820088,4465,3721,1
76,82,completed,84.699037,5044,4884,1
77,82,completed,91.989876,4977,3457,1
78,82,completed,127.973577,5854,4844,1
79,92,completed,81.277184,4626,4447,1
80,91,completed,90.729187,8287,4946,1
81,82,completed,79.742009,4979,3939,1
82,86,completed,83.039984,4430,4132,1
83,82,completed,96.097733,6532,3794,1
84,85,completed,84.332751,5878,4156,1
85,88,completed,86.944354,5510,4303,1
86,88,completed,76.035153,6114,3053,1
87,92,completed,102.582357,6738,4763,1
88,88,completed,119.140274,5394,4715,1
89,82,completed,101.416624,4912,4454,1
90,90,completed,90.614616,6336,3163,1
91,88,completed,88.212157,6450,3206,1
92,88,completed,79.903302,5523,3556,1
93,85,completed,72.705528,4403,3364,1
94,84,completed,122.030361,5673,3726,1
95,86,completed,84.630434,6214,3525,1
96,88,completed,108.496506,5560,3846,1
97,80,completed,59.232048,5216,3321,1
98,88,completed,121.029008,6845,4263,1
99,88,completed,84.409607,5796,3931,1
100,82,completed,148.099644,6120,4687,1
